	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14	cluster_15	cluster_16	cluster_17	cluster_18	cluster_19	cluster_20	cluster_21	cluster_22	cluster_23	cluster_24	cluster_25	cluster_26	cluster_27	cluster_28
11DOCRTSLtm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11DOCRTSLtm_pos	6982.009590864966	6971.096886340543	8899.223382599701	6912.02604724536	8991.032718812416	8549.937193913616	7954.200092550746	9347.18472853962	9038.716767375316	7068.146799498575	7023.4379719100825	7001.712979319734	6985.125053934064	8403.102770444566	7039.114578219511	9265.95370629944	8488.542120243244	7025.234902561267	6970.221308276056	7732.604129029027	7009.735722513196	8925.949367090241	7572.392098159299	7032.461208208401	7059.07946568178	8126.147822257555	8673.302031397374	6987.274276403288	7287.202784335648
11DOCRTSLtr_neg	6982.009590864887	6971.09688634049	8899.2233825996	6912.026047245307	8991.032718812297	8549.937193913527	7954.200092550668	9347.18472853953	9038.71676737525	7068.146799498511	7023.437971910021	7001.7129793196655	6985.125053933993	8403.10277044449	7039.114578219453	9265.95370629936	8488.542120243152	7025.234902561214	6970.221308275991	7732.604129028962	7009.735722513137	8925.949367090165	7572.392098159217	7032.461208208345	7059.079465681709	8126.147822257459	8673.302031397287	6987.274276403219	7287.202784335582
11DOCRTSLtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11DOCRTSTRNtm_pos	7025.812471104189	7016.056366029216	8969.705173081054	6958.366174043419	9050.994948890377	8613.505622761788	8020.843524422189	9413.113715625675	9099.696956645446	7113.987808079764	7064.436613065141	7043.473906662909	7030.690750386311	8451.547508751377	7083.161314437636	9334.07653170071	8549.851325762627	7071.200835475517	7017.526606828061	7799.3644195695	7052.998626564456	8987.377062248004	7633.079315536592	7079.209693146585	7105.136111101141	8181.4165849682495	8731.709871216519	7032.492330096451	7329.697868771263
11DOCRTSTRNtr_neg	7025.812471104224	7016.056366029236	8969.705173081087	6958.366174043444	9050.994948890391	8613.505622761815	8020.843524422199	9413.113715625725	9099.696956645485	7113.987808079776	7064.436613065167	7043.47390666293	7030.690750386338	8451.547508751388	7083.161314437654	9334.076531700735	8549.85132576265	7071.200835475526	7017.526606828087	7799.364419569529	7052.998626564491	8987.377062248033	7633.079315536611	7079.20969314661	7105.136111101162	8181.416584968294	8731.709871216553	7032.4923300964665	7329.697868771291
11DOCRTSTRNtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13DAMPPOX_pos	7896.487575140546	7901.077602053583	10253.548580876826	7822.213765459771	10195.499682056545	9707.268424110578	8895.147620195883	10935.377839947108	10515.570708035471	8031.490516561811	7993.5329286301185	7960.490362668837	7941.288464871335	9926.374397295753	8031.35479661557	10643.338151078864	9814.51063984572	7942.941072848144	7884.14631968163	8871.211036559907	7992.701844478982	10054.74244038407	8842.193678803576	8063.034518649893	7995.6463267224835	9320.577781580416	10001.177819006823	7962.53081856581	8307.80673649659
1MNCAMti_pos	52.86866058592989	52.85830142577733	58.11992233672742	52.74369995791847	59.666387436195066	58.36596640744818	56.69905691357641	60.09726205145216	56.276205935109225	55.34685038785602	54.634690901891865	54.25948465885531	54.8417807849198	59.77959051355546	54.73598744171042	59.647754849034726	58.57096234640312	53.18049249265722	54.076989945299054	58.778135831852495	53.19406919217607	58.64670584587228	55.89447288764504	54.57451204482835	54.33595894288969	56.19912132125438	55.773166166641886	54.42453268006208	54.18261210389406
1PPDCRp_pos	60.43083805145207	59.241566747694655	67.86667805628676	60.28816796800358	66.70901172664884	62.61861405018006	69.71536458759934	68.61148115552506	67.21650686619247	59.26330713604633	59.69925296736002	59.1679377626144	60.089027408940616	64.48353471628126	59.74155097029068	71.58148062561253	64.81507677786762	59.46711829113252	61.08899404382881	67.95271411918957	60.20656994072837	64.19005120566754	65.59539309777	59.92951549628641	60.52090365827053	64.79377052578039	67.43564148552068	60.350939212940574	60.60379159097362
1a25DHVITD3TRn_pos	7150.022637953675	7142.959163256611	9194.8767476572	7083.092293845851	9252.235358623417	8768.289568326387	8183.245574948653	9611.788561725629	9273.896972038478	7236.450755799047	7186.045348430404	7163.767576474004	7151.674429691622	8595.90167954606	7211.622078536148	9518.39313944818	8728.477746502875	7197.9865262809935	7144.663729312093	7960.818323972335	7179.075981602408	9176.011079476497	7795.893494931034	7204.600424672932	7229.170496952314	8352.086664841901	8918.474666313916	7154.460332268162	7461.499097196308
1a_24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a_24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	15.89416022910351	15.856953730404037	17.33307809955145	15.990588798545064	16.924177627707593	17.60439356994362	16.59965136278481	17.06536450903743	16.750157714717535	15.852425016480025	15.881088985603814	16.091354239821822	16.007316664496507	17.12879692059207	16.51096883329609	17.768749238428136	17.3701807038519	16.000756189934123	15.861008786403811	16.61892078108112	16.278787461134833	16.123740043586885	16.62978266339811	15.861964511791152	16.235304229375473	17.605166509831047	16.15568565591974	15.96759204068873	15.562079169687191
24NPHte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	10.959419772168731	10.924242495957278	11.41401227941309	10.935062986453916	11.19577066546085	11.5875421459775	11.198795699809882	12.305132814492636	11.861690400499928	10.949877506994614	10.952088204341552	11.010355190530612	10.97765252835698	12.102572033185044	10.988969253656885	11.881957249968483	11.700352954694306	10.915900449023535	10.895513497378523	10.969065023478477	11.065165222998322	11.095493402241695	11.04928915649791	10.984501927721736	11.03909012745506	11.13683843314488	11.140684876953468	10.9889708087003	10.901774162500727
24_25DHVITD2tm_pos	10.959419772168731	10.924242495957278	11.41401227941309	10.935062986453916	11.19577066546085	11.5875421459775	11.198795699809882	12.305132814492636	11.861690400499928	10.949877506994614	10.952088204341552	11.010355190530612	10.97765252835698	12.102572033185044	10.988969253656885	11.881957249968483	11.700352954694306	10.915900449023535	10.895513497378523	10.969065023478477	11.065165222998322	11.095493402241695	11.04928915649791	10.984501927721736	11.03909012745506	11.13683843314488	11.140684876953468	10.9889708087003	10.901774162500727
24_25DHVITD3t_pos	7150.022637953677	7142.959163256618	9194.876747657214	7083.092293845848	9252.23535862342	8768.28956832641	8183.245574948654	9611.788561725652	9273.896972038465	7236.450755799067	7186.045348430422	7163.767576473987	7151.674429691635	8595.901679546072	7211.622078536143	9518.393139448182	8728.477746502887	7197.986526281	7144.663729312093	7960.8183239723485	7179.075981602441	9176.011079476497	7795.893494931037	7204.600424672959	7229.17049695234	8352.086664841874	8918.474666313963	7154.460332268171	7461.499097196328
24_25DHVITD3tm_pos	7180.848894969486	7174.09109206662	9226.13376899237	7114.176740119082	9282.913094105445	8806.697439518535	8213.939993746226	9657.833016549506	9319.75421222004	7268.227474466244	7217.289990642772	7194.878900548294	7183.146682829631	8642.741778480131	7242.843207951373	9557.747220639754	8767.536175070663	7229.177002251648	7175.522161692206	7991.265658215463	7210.561802233696	9207.257377584072	7826.639635645024	7235.735785284926	7260.595717929493	8383.381490784977	8950.653629041639	7185.75406414372	7492.790435912246
24_25VITD2Hm_pos	10.959419772168731	10.924242495957278	11.41401227941309	10.935062986453916	11.19577066546085	11.5875421459775	11.198795699809882	12.305132814492636	11.861690400499928	10.949877506994614	10.952088204341552	11.010355190530612	10.97765252835698	12.102572033185044	10.988969253656885	11.881957249968483	11.700352954694306	10.915900449023535	10.895513497378523	10.969065023478477	11.065165222998322	11.095493402241695	11.04928915649791	10.984501927721736	11.03909012745506	11.13683843314488	11.140684876953468	10.9889708087003	10.901774162500727
24_25VITD3Hm_pos	7180.848894969486	7174.09109206662	9226.13376899237	7114.176740119082	9282.913094105445	8806.697439518535	8213.939993746226	9657.833016549506	9319.75421222004	7268.227474466244	7217.289990642772	7194.878900548294	7183.146682829631	8642.741778480131	7242.843207951373	9557.747220639754	8767.536175070663	7229.177002251648	7175.522161692206	7991.265658215463	7210.561802233696	9207.257377584072	7826.639635645024	7235.735785284926	7260.595717929493	8383.381490784977	8950.653629041639	7185.75406414372	7492.790435912246
25HVITD2t_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD2tin_m_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD2tin_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD2tm_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD3c_pos	7150.022637953675	7142.959163256611	9194.8767476572	7083.092293845851	9252.235358623417	8768.289568326387	8183.245574948653	9611.788561725629	9273.896972038478	7236.450755799047	7186.045348430404	7163.767576474004	7151.674429691622	8595.90167954606	7211.622078536148	9518.39313944818	8728.477746502875	7197.9865262809935	7144.663729312093	7960.818323972335	7179.075981602408	9176.011079476497	7795.893494931034	7204.600424672932	7229.170496952314	8352.086664841901	8918.474666313916	7154.460332268162	7461.499097196308
25HVITD3t_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD3tin_m_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD3tin_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25HVITD3tm_pos	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0	1900.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	14486.0538972813	14520.558635147714	17606.953719271438	14536.721112561372	16799.695189009246	17164.91852489277	15817.823448022507	19264.34985678245	17823.12635649292	14617.560947947204	14533.453537812604	14529.8510763904	14643.683689420368	17739.288993085607	14633.609736627868	18669.248701774417	16847.679892995322	14593.010602483057	14619.308311988818	15990.543448584169	14687.399717792048	15950.39106359326	16490.342810371774	14531.616584420732	14607.103251414055	15669.916659341856	16302.157159572113	14575.849691546238	14748.407942151856
2AMACSULT_pos	2503.269801473375	2524.8243900935768	2932.8197006053565	2513.4102531653166	3089.679058533497	3044.9423939231788	3126.15905278282	2894.655159950541	2824.652560421433	2572.423579338817	2546.948204111494	2536.7898678968363	2546.0688318607304	2901.911892213461	2559.0089690963514	2968.615570682201	2756.636622892451	2514.7310589520043	2557.2763028578456	2865.17244961814	2555.408051939432	2803.775185458868	3036.739682100938	2608.782379359224	2527.853685530258	2890.2807026292103	2878.364425723253	2556.1472409148823	2580.3780822454205
2AMADPTm_pos	6941.817252713412	6947.046449128766	7476.752475349476	6940.762105200849	7302.006843452007	7567.59912027767	7219.437204164707	7593.843607280209	7550.582009319652	6965.065716496794	6945.268832759704	6953.2334357234095	6970.36650998046	7334.94303952845	6976.777980955518	7524.202827551609	7439.399950136709	6963.336295510541	6989.678998750778	7362.934221301782	6982.267250295652	7387.074420170806	7331.490120935199	6938.680600667055	6961.751254084542	7214.381494074346	7253.328465609129	6956.191735729395	7000.706469599173
2DR1PP_pos	7067.432479007844	6916.307498146497	9028.71083504764	6894.9508668351145	9535.82688621955	9660.709294240343	9125.795578186377	9356.043981415673	8824.968850718997	6874.995080520931	7233.103299405914	6794.769078740458	6889.217202944848	9349.986169289372	7046.75336925495	8984.341017251927	8550.180071286006	6889.470524255449	6848.91683811232	7658.812529498954	6923.60271786229	7598.058443639927	8309.19380862584	7123.819529143306	6918.817742675044	8083.482513107135	8389.800015950837	7659.804234685508	7381.775282732797
2HBO_neg	7701.408068142611	7770.308569955928	10346.519031324384	7728.951335311074	9886.78354000394	10305.287364029144	9804.099993905862	11418.060651641754	9788.99022494643	7910.50102948899	7809.956475625544	7800.466821551717	7829.212824720372	10309.96164837892	7881.647682009298	11383.010186315749	10044.344565884105	7828.552025573629	7807.196919832106	10467.628715297771	7891.014869521898	9409.010826360996	9938.165592895582	7779.410875559286	7812.013127710149	8922.540196785703	10340.957823205685	7914.18944292689	7953.760635029482
2HBO_pos	8.76230211651935	8.81200108355333	8.915766765187994	8.860372331484042	9.202303937796753	9.011997866719518	10.502805972075778	10.233290584548314	8.806264361405493	8.851673186124007	8.806491959705665	8.814881763570485	8.896399979136019	8.813561314146162	8.929094773495088	9.739455802502617	9.000173687142018	8.901860855182294	8.844643801440194	9.498864118569086	8.905213990529878	9.031753422979053	9.485935710091711	8.766835948622838	8.887334477207997	9.059421121832813	8.779118421093662	8.832679339940979	8.743918406928467
2HBt2_neg	457.8556951495477	486.12486394481095	659.1097272450924	529.57936222388	355.5457954179968	486.22903764778783	1576.9090516200567	2228.041389761812	323.299206278171	478.4841159941144	488.4825474504228	555.643269478986	584.6269542357088	421.5805196562187	550.0361389012631	2850.0	506.951235063877	598.2966345561923	530.7678212490881	2308.3964132102	589.6534628337041	587.0786729140135	363.5525386684072	440.1789145422417	581.8254176020673	657.8940341974937	400.49036413909545	478.58935937919614	469.0440036688154
2HBt2_pos	457.8556951495477	486.12486394481095	659.1097272450924	529.57936222388	355.5457954179968	486.22903764778783	1576.909051620057	2228.041389761812	323.299206278171	478.4841159941144	488.4825474504228	555.643269478986	584.6269542357088	421.5805196562187	550.0361389012631	2850.0	506.951235063877	598.2966345561923	530.7678212490881	2843.071476923301	589.6534628337041	587.0786729140135	363.5525386684072	440.1789145422417	581.8254176020673	657.8940341974937	400.49036413909545	478.58935937919614	469.0440036688154
2HCO3_NAt_neg	1526.306410653872	1540.508419521136	1544.1891799393595	1529.7713902901892	1501.9108937071503	1691.6395114422414	1627.518072583077	1495.5480740148355	1495.7722558411097	1532.3724737778718	1533.6158929319345	1540.503840447064	1558.369530220661	1635.8193412440642	1563.21450896674	1518.324749311554	1620.2754237987338	1544.9134627653466	1535.3083284229808	1621.318952659413	1577.3250092904425	1494.7246977372174	1623.5427598108963	1494.6366454952392	1532.5853317927515	1540.8714560652743	1630.4439184022071	1544.6343705968454	1518.2718461904096
2HCO3_NAt_pos	1516.6294504801872	1540.508419521136	1544.1891799393595	1529.7713902901892	1489.6242532878357	1729.651336318267	1743.0637922675328	1495.5480740148355	1441.148575403019	1532.3724737778718	1533.6158929319345	1540.503840447064	1558.369530220661	1635.8193412440642	1563.21450896674	1502.2538806389468	1680.0874347373235	1544.9134627653466	1535.3083284229808	1683.4488276930224	1577.3250092904425	1478.9858716674012	1684.929605896796	1480.604364174679	1532.5853317927515	1540.8714560652743	1630.4439184022071	1544.6343705968454	1511.73291424576
2MB2COAc_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2MB2COAc_pos	10.615103498728828	10.67052622406105	11.505090509660103	10.814050289010448	12.16606462682792	11.615804099598254	12.8329424265579	12.79918472513655	12.596831468859508	10.948786989247278	10.97040203227623	10.752343512361744	10.77199462326716	12.798135990654158	11.12406170299422	12.594080884348616	12.842784933074158	10.893075220132994	10.673717185377557	12.762603616868184	11.10751707558826	11.770379655802609	12.747291829936122	11.281286633529051	11.047026977142654	12.749382872946189	12.78649333493854	11.081267344881352	11.310816667663552
2MCITt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2MCITt_pos	7138.1304659662	7162.131005567397	9317.931190002886	7151.263620981401	9209.663401767186	9479.841456259648	9058.509284738762	9690.207322679	9643.27240879786	7265.739973060296	7229.521555847787	7153.272360737753	7155.720154138736	9495.721636766952	7323.569084751216	9333.805907409458	8604.021040735386	7190.124857625901	7243.712576748487	8984.362192380342	7300.654682904586	8585.151722704682	9130.31401718308	7287.40444791393	7187.030842405568	8367.24743359414	9142.345651531708	7219.173423157168	7296.091762579386
2OXOADOXm_pos	107.520875232623	107.53212155103866	124.85219441813318	106.76000464219705	121.1408204899092	116.91699540456908	121.83615227244272	127.93830872449304	119.45290783286796	109.36037775721194	108.42918624576332	107.95340819088386	109.0775956222984	120.3000916410077	108.39630839425962	127.7162570045994	120.09442470329024	106.56846479036948	107.91138274015452	119.06059436175732	108.82390164386509	119.26629328256315	117.8184213183243	111.45894319015	108.8361684517278	118.687348692559	121.53682227044216	110.55457297864376	110.20622741924645
2OXOADPTm_neg	6941.817252713405	6947.0464491287685	7476.752475349476	6940.76210520085	7302.006843452007	7567.599120277673	7219.437204164706	7593.843607280207	7550.582009319646	6965.065716496793	6945.268832759708	6953.23343572341	6970.366509980456	7334.943039528449	6976.777980955519	7524.202827551614	7439.399950136708	6963.336295510539	6989.67899875078	7362.934221301783	6982.267250295652	7387.074420170805	7331.490120935199	6938.680600667057	6961.751254084543	7214.381494074346	7253.328465609129	6956.191735729396	7000.706469599175
2OXOADPTm_pos	136.24101383943773	135.40207020400027	156.73737056942846	135.22764555180973	149.90467655671236	147.018849079883	153.67904219605535	158.71197074811016	149.39443060145496	136.51178055733482	136.56919977225618	135.99632494291686	137.28908726323016	147.69817021178915	136.43818120039774	159.96062762276597	148.4127486494331	134.3097974513061	136.9463816976728	149.07781178398344	136.80343260460546	147.49849617079883	148.35728638206822	138.37388436436254	137.57446633965264	147.43647689966667	151.49710815399192	138.44251193843394	137.8884063168343
34DHOXPEGOX_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	605.4700784000794	607.0683882836646	700.0065106506721	602.3521236123194	753.3462219910185	754.9552741257027	728.6473527866018	684.8141726122747	726.1320085695307	607.1552908295788	596.1054564021714	599.2884645932448	605.8912535095627	677.9450296386193	606.8120162635352	691.3362122405757	642.4566688487531	608.8621897007481	607.1960929490052	692.607274107703	618.4419088004975	690.9286449070001	674.7743494540586	610.1333271092694	607.2808679470779	658.3489863692289	669.9300489502915	606.1039891167314	617.2343347254939
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
